model,data_path,log_path,lr,batch_size,epoch,factors,drop_ratio,num_layers,best_acc,best_acc_auc,best_auc,best_auc_acc,best_acc_epoch,test_acc_on_best_acc_model,test_auc_on_best_acc_model,tp_acc,fp_acc,tn_acc,fn_acc,precision_acc,recall_acc,specificity_acc,f1_acc,mcc_acc,test_acc_on_best_auc_model,test_auc_on_best_auc_model,tp_auc,fp_auc,tn_auc,fn_auc,precision_auc,recall_auc,specificity_auc,f1_auc,mcc_auc,test_acc_on_bestacc_model,test_auc_on_bestacc_model,test_acc_on_bestauc_model,test_auc_on_bestauc_model
Transformer,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/36/mimic4_smote_36.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Transformer_Exp1_factors36_lr0.002_bs3762_epoch3000_20250412-064151,0.002,3762,3000,36,0.1,2,0.88453608751297,0.9319272274015642,0.948132235426698,0.8726804256439209,2143,0.0,0.0,991,183,725,41,0.84412265758092,0.9602713178294574,0.7984581497797357,0.898458748866727,0.7744997665627233,0.0,0.0,1002,217,691,30,0.8219852337981952,0.9709302325581396,0.7610132158590308,0.890270990670813,0.7557720304297525,0.8845360824742268,0.9319272274015642,0.872680412371134,0.9481327690127378
Transformer,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/36/mimic3_smote_36.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Transformer_Exp1_factors36_lr0.002_bs3762_epoch2500_20250412-065447,0.002,3762,2500,36,0.1,2,0.8977272510528564,0.9367599808011544,0.9441032335380598,0.8881118893623352,2278,0.0,0.0,537,73,490,44,0.8803278688524591,0.9242685025817556,0.8703374777975134,0.9017632241813603,0.7962666873248796,0.0,0.0,517,64,499,64,0.8898450946643718,0.8898450946643718,0.8863232682060391,0.8898450946643718,0.7761683628704108,0.8977272727272727,0.9367599808011544,0.8881118881118881,0.9441017049675484
Transformer,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/8/mimic3_eICU_smote_8.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Transformer_Exp1_factors8_lr0.004_bs3762_epoch2500_20250412-071232,0.004,3762,2500,8,0.1,2,0.8766613602638245,0.93569848424167,0.946974319810904,0.8535353541374207,2443,0.0,0.0,1833,408,1465,56,0.8179384203480589,0.9703546850185284,0.7821676454885211,0.8876513317191282,0.7666881029423598,0.0,0.0,1844,506,1367,45,0.7846808510638298,0.9761778718898888,0.7298451681793914,0.8700165133286153,0.7290418545408809,0.8766613503455609,0.93569848424167,0.8535353535353535,0.946974319810904
Transformer,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/8/mimic3_eICU_smote_8.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Transformer_Exp1_factors8_lr0.004_bs3762_epoch1500_20250412-073519,0.004,3762,1500,8,0.1,2,0.8274853825569153,0.8914074430407081,0.8950288813449716,0.8266879320144653,1492,0.0,0.0,1776,536,1337,113,0.7681660899653979,0.9401799894123876,0.7138280832888414,0.8455129731016424,0.6718774429514855,0.0,0.0,1759,522,1351,130,0.7711530030688295,0.9311805187930122,0.7213027229044314,0.8436450839328538,0.6677502473021635,0.827485380116959,0.8914074430407081,0.8266879319510898,0.8950288813449716
Transformer,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/8/mimic3_eICU_smote_8.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Transformer_Exp1_factors8_lr0.004_bs3762_epoch1500_20250412-075644,0.004,3762,1500,8,0.1,2,0.8274853825569153,0.8914074430407081,0.8950288813449716,0.8266879320144653,1492,0.0,0.0,1776,536,1337,113,0.7681660899653979,0.9401799894123876,0.7138280832888414,0.8455129731016424,0.6718774429514855,0.0,0.0,1759,522,1351,130,0.7711530030688295,0.9311805187930122,0.7213027229044314,0.8436450839328538,0.6677502473021635,0.827485380116959,0.8914074430407081,0.8266879319510898,0.8950288813449716
Transformer,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/8/mimic4_smote_8.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Transformer_Exp1_factors8_lr0.002_bs3762_epoch200_20250412-082903,0.002,3762,200,8,0.1,2,0.8061855435371399,0.8740907693883824,0.87759856401325,0.8041236996650696,196,0.0,0.0,948,292,616,84,0.7645161290322581,0.9186046511627908,0.6784140969162996,0.8345070422535211,0.6203129955688661,0.0,0.0,929,277,631,103,0.7703150912106136,0.9001937984496124,0.6949339207048458,0.8302055406613048,0.6123098810333343,0.8061855670103093,0.8740907693883824,0.8041237113402062,0.87759856401325
Transformer,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/8/local-smote.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Transformer_Exp1_factors8_lr0.002_bs3762_epoch200_20250412-083527,0.002,3762,200,8,0.1,2,0.7897727489471436,0.8311551155115512,0.8406600660066007,0.7784090638160706,193,0.0,0.0,86,22,53,15,0.7962962962962963,0.8514851485148515,0.7066666666666667,0.8229665071770336,0.5668619754957975,0.0,0.0,89,27,48,12,0.7672413793103449,0.8811881188118812,0.64,0.8202764976958526,0.5437273833411513,0.7897727272727273,0.8311551155115512,0.7784090909090909,0.8406600660066007
Transformer,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/8/local_smote_8.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Transformer_Exp1_factors8_lr0.0002_bs3762_epoch1500_20250426-021022,0.0002,3762,1500,8,0.1,2,0.7379679083824158,0.7508045977011495,0.7598850574712644,0.7112299203872681,1412,0.0,0.0,72,21,66,28,0.7741935483870968,0.72,0.7586206896551724,0.7461139896373057,0.4774695645294566,0.0,0.0,77,31,56,23,0.7129629629629629,0.77,0.6436781609195402,0.7403846153846153,0.4177310878281562,0.7379679144385026,0.7508045977011495,0.7112299465240641,0.7598850574712644
Transformer,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/8/local_smote_8.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Transformer_Exp1_factors8_lr0.0002_bs3762_epoch1500_20250426-021249,0.0002,3762,1500,8,0.1,2,0.7379679083824158,0.7508045977011495,0.7598850574712644,0.7112299203872681,1412,0.0,0.0,72,21,66,28,0.7741935483870968,0.72,0.7586206896551724,0.7461139896373057,0.4774695645294566,0.0,0.0,77,31,56,23,0.7129629629629629,0.77,0.6436781609195402,0.7403846153846153,0.4177310878281562,0.7379679144385026,0.7508045977011495,0.7112299465240641,0.7598850574712644
Transformer,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/36/mimic3_smote_36.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Transformer_Exp1_factors36_lr0.002_bs5000_epoch1500_20250426-023012,0.002,5000,1500,36,0.1,2,0.8898601531982422,0.9293005567053804,0.9370014949419604,0.8548951148986816,1376,0.0,0.0,524,69,494,57,0.8836424957841484,0.9018932874354562,0.8774422735346359,0.8926746166950598,0.7797647722541697,0.0,0.0,526,111,452,55,0.82574568288854,0.9053356282271944,0.8028419182948491,0.8637110016420361,0.7127065016965481,0.8898601398601399,0.9293005567053804,0.8548951048951049,0.9370030235124716
