,model,num_layers,drop_ratio,batch_size,pre_best_acc,pre_best_acc_auc,tp,tn,fp,fn,recall,f1,mcc,pre_best_auc,pre_best_auc_acc,pre_best_acc_epoch,test_acc,test_auc,ppr,npr,tr,ta
0,Transformer,2,0.0,200,0.5693780183792114,0.5894268868264494,936,1206,667,953,0.4955002646903123,0.536082474226804,0.1409335193298926,0.6173440128973287,0.5502392053604126,12,0.569377990430622,0,0.5839051777916406,0.5585919407132932,668.0,0.569377990430622
1,Transformer,2,0.0,200,0.7304624915122986,0.8079912732748706,1341,1407,466,548,0.7098994176813128,0.7256493506493505,0.46145376222242157,0.8082196446281716,0.7254120111465454,4958,0.7304625199362041,0,0.7421140011068068,0.719693094629156,467.0,0.7304625199362041
